	group_name	protein_count	species_count	functional_category	functional_description	metagenome_sample_count	asf_species
6644	ENOG4105HQH	156	154	P	binding-protein-dependent transport systems inner membrane Component	6	A502
6645	ENOG4105HQK	217	159	L	Terminase, large subunit	15	A502
6646	ENOG4105HQC	40	38	S		11	A356
6647	ENOG410801K	6	6	S	Protein of unknown function (DUF1524)	15	A457
6648	ENOG4107QHJ	106	100	O	ATP-dependent Lon protease	15	A361
6649	ENOG4107QHU	1142	1125	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)	15	A519
6650	ENOG4106AAN	4	4	S		3	A457
6651	ENOG4106AAK	4	4	S		4	A356
6652	ENOG4106AAF	7	5	S	fibronectin type iii	7	A356
6653	ENOG4108QHG	77	68	I	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity)	14	A492
6654	ENOG4108QHC	22	20	L	Crispr-associated ramp protein	11	A492
6655	ENOG4105J2P	60	35	S	ragb susd domaiN-containing protein	15	A519
6656	ENOG4105J2Y	7	7	S		14	A519
6657	ENOG4105J20	121	120	S		15	A519
6658	ENOG4105J29	13	13	S		5	A502
6659	ENOG4107GN5	26	23	S	domain protein	13	A519
6660	ENOG4106CUT	4	4	S		8	A502
6661	ENOG4107HY1	67	57	S	Dehydrogenase	15	A356
6662	ENOG4107HY0	4	4	M	n-acetylmuramoyl-l-alanine amidase	5	A492
6663	ENOG410641M	10	10	S		4	A519
6664	ENOG4107XQ0	29	26	O	reductase	5	A356
6665	ENOG4107XQD	4	4	S	Inherit from COG: domain protein	15	A519
6666	ENOG41083TZ	5	5	S	MraZ protein	6	A457
6667	ENOG4107XQY	3	3	P	Inherit from COG: zinc transporter	12	A356
6668	ENOG41068ND	6	6	S		10	A519
6669	ENOG41068NG	14	14	S		12	A502
6670	ENOG4105I9I	4	4	S		9	A457
6671	ENOG4105I9V	122	119	P	ferric uptake regulator	15	A519
6672	ENOG4105I92	32	30	S	reductase	2	A492
6673	ENOG4107UHW	42	37	G	Binding-protein-dependent transport systems, inner membrane component	13	A502
6674	ENOG41083PX	21	20	T	Phosphatase	13	A492
6675	ENOG41083PA	10	10	O	Heme chaperone required for the biogenesis of c-type cytochromes. Transiently binds heme delivered by CcmC and transfers the heme to apo-cytochromes in a process facilitated by CcmF and CcmH (By similarity)	6	A457
6676	ENOG4108UQ5	105	101	S	membrane protein YcdZ	6	A356
6677	ENOG4107IJD	3	3	S		3	A502
6678	ENOG4108UQ9	28	28	K	Tetr family transcriptional regulator	8	A519
6679	ENOG4106DRC	6	6	S		8	A519
6680	ENOG4106DR3	6	5	N	Flagellar protein FliT	3	A502
6681	ENOG4106DR8	8	6	S	Copper amine oxidase N-terminal domain	10	A500
6682	ENOG4108W9B	90	89	U	biopolymer transport protein	15	A519
6683	ENOG4108W96	3	3	E	Binding-protein-dependent transport system inner membrane component	2	A457
6684	ENOG4108Z1E	115	71	C	Methyl-viologen-reducing hydrogenase, delta subunit	10	A502
6685	ENOG4108Z1R	3	3	S		7	A519
6686	ENOG4108Z1V	12	12	S	domain protein	11	A356
6687	ENOG4108Z1Z	276	270	E	gCN5-related N-acetyltransferase	6	A457
6688	ENOG4108Z13	85	82	S		5	A519
6689	ENOG4107FDY	7	7	S	Anti-Sigma-28 factor, FlgM	7	A356
6690	ENOG4107Z5A	25	23	S		2	A502
6691	ENOG4107WB2	18	8	S	tetratricopeptide tpr_2 repeat protein	3	A500
6692	ENOG4107GNY	4	4	M	Glycosyl transferase family 8	1	A360
6693	ENOG4107QU6	45	41	EGP	Beta-lactamase induction signal transducer	15	A519
6694	ENOG4107QU1	120	119	J	polyA polymerase	13	A457
6695	ENOG4107QUH	32	31	K	TRANSCRIPTIONal	6	A457
6696	ENOG4107QUI	59	53	G	Oxidoreductase domain protein	14	A502
6697	ENOG4107QUY	284	270	F	Guanine deaminase	13	A519
6698	ENOG4107QUS	4	4	E	2-isopropylmalate synthase homocitrate synthase family protein	12	A457
6699	ENOG4106QN5	2	2	S		13	A519
6700	ENOG410875H	6	6	S		11	A500
6701	ENOG4108754	2	2	J	30S ribosomal protein S21	3	A502
6702	ENOG4108H2A	11	10	P	copper silver resistance-related transport membrane protein	11	A519
6703	ENOG4108H2E	8	8	GM	phosphorylase	15	A519
6704	ENOG4108H2K	5	5	S	Phosphotransferase enzyme family	15	A519
6705	ENOG4108H2P	7	7	L	DNA polymerase iii	15	A519
6706	ENOG4108H2Z	22	22	C	phosphate acetyltransferase	15	A519
6707	ENOG4108H22	5	5	T	Histidine kinase	8	A519
6708	ENOG4108H29	3	3	GV	Beta-lactamase	15	A519
6709	ENOG4105CH8	1196	1090	C	Succinyl-CoA ligase ADP-forming subunit alpha	5	A519
6710	ENOG4105CHE	31	31	E	Aminotransferase class i	15	A519
6711	ENOG4105CHG	1125	764	C	glycolate oxidase (iron-sulfur subunit)	14	A361
6712	ENOG4105CHX	111	85	S	AAA ATPase	15	A519
6713	ENOG41066UJ	6	6	S	toxin-antitoxin system, antitoxin component, Xre family	12	A356
6714	ENOG41066US	6	6	S		9	A492
6715	ENOG4106CH6	9	7	S		13	A356
6716	ENOG4106CHY	10	8	K	ArsR family transcriptional regulator	4	A500
6717	ENOG41079SA	4	4	S		2	A492
6718	ENOG4108VQD	20	18	S		3	A502
6719	ENOG4108VQC	39	38	K	Transcriptional regulator	14	A519
6720	ENOG4108VQ4	88	79	S		14	A519
6721	ENOG4108VQ7	3	3	S	Inherit from NOG: Protein of unknown function (DUF3494)	11	A519
6722	ENOG4105XGI	8	7	S		15	A519
6723	ENOG41090YJ	76	76	S	PHP domain protein	13	A519
6724	ENOG41090YX	45	39	S	type i phosphodiesterase nucleotide pyrophosphatase	14	A519
6725	ENOG4108KN7	378	364	O	Removes 5-oxoproline from various penultimate amino acid residues except L-proline (By similarity)	12	A492
6726	ENOG4108KNC	38	34	NT	Methyl-accepting chemotaxis	13	A492
6727	ENOG4106NEY	4	4	S	Cupin domain	10	A519
6728	ENOG4108179	26	23	K	Transcriptional regulator	5	A492
6729	ENOG410817E	6	6	G	Tripartite ATP-independent periplasmic transporters, DctQ component	10	A502
6730	ENOG410817M	28	28	S	RelA SpoT domain protein	13	A502
6731	ENOG410817Q	9	9	S	Pentapeptide repeat protein	11	A356
6732	ENOG410817Y	19	19	L	Primosomal protein DnaI	12	A360
6733	ENOG4106VXM	3	3	S		6	A519
6734	ENOG4108FW2	3	2	E	Amidinotransferase	4	A502
6735	ENOG4106CZS	3	3	S		8	A500
6736	ENOG41089ZU	2	2	K	PemK-like protein	5	A360
6737	ENOG4105GFA	17	13	S	domain protein	12	A519
6738	ENOG41063GJ	53	53	S	Immunoreactive 84 kDa antigen	15	A519
6739	ENOG41063G6	50	16	S	hmm pf04634	11	A492
6740	ENOG41084ED	72	72	J	50S ribosomal protein L33	5	A457
6741	ENOG4106K13	2	2	S		10	A457
6742	ENOG41064RM	10	10	S		11	A500
6743	ENOG41064RW	6	6	K	TraR DksA family	1	A492
6744	ENOG4108J4T	4	4	L	Phage integrase family	3	A492
6745	ENOG4105YP7	146	143	S	UPF0270 protein	8	A356
6746	ENOG4105YPQ	3	3	S		3	A500
6747	ENOG4106I03	6	6	T	Sporulation stage 0, Spo0E-like	6	A519
6748	ENOG4106I0B	4	4	S	Domain of unknown function (DUF955)	4	A360
6749	ENOG4106I0S	5	5	M	biosynthesis protein	4	A361
6750	ENOG4108VCE	60	54	S	Phage Portal Protein	14	A361
6751	ENOG4108VCA	180	178	L	G U mismatch-specific DNA glycosylase	11	A360
6752	ENOG4108GN4	2	2	S		11	A519
6753	ENOG4108EJA	13	13	M	nucleotidyl transferase	9	A457
6754	ENOG41062T7	9	9	S		10	A502
6755	ENOG4106AF8	3	3	S		7	A356
6756	ENOG4106QUH	4	4	S	Plasmid stabilisation system protein	13	A492
6757	ENOG410769N	2	2	S		13	A361
6758	ENOG4107H6Q	4	4	S		8	A502
6759	ENOG4107H66	4	3	U		1	A492
6760	ENOG4107H62	8	7	S	Inherit from NOG: leucine Rich Repeat	6	A356
6761	ENOG41069K8	13	13	S	Nuclear protein SET	3	A356
6762	ENOG41069K6	5	5	S		12	A519
6763	ENOG41069KU	5	5	S		7	A500
6764	ENOG41069KH	20	19	S	O-Antigen Polymerase	11	A492
6765	ENOG4107UIP	31	31	E	Releases the N-terminal proline from various substrates (By similarity)	9	A360
6766	ENOG4107UII	36	33	I	phosphatidylserine decarboxylase	8	A360
6767	ENOG4107UIB	19	19	T	metallophosphoesterase	11	A361
6768	ENOG4108UUR	11	10	O	glycosyltransferase	13	A519
6769	ENOG4107INC	3	3	V	type I restriction-modification system, S subunit	14	A500
6770	ENOG4108UUJ	13	12	S		11	A519
6771	ENOG4105X0H	17	16	S	relaxasome subunit MobC	13	A502
6772	ENOG4107PJ9	51	50	L	Atp-dependent dna helicase	14	A457
6773	ENOG4107PJB	3	3	S		12	A502
6774	ENOG41085AT	9	9	S		3	A502
6775	ENOG4108RJ5	29	24	S		7	A492
6776	ENOG4108RJJ	20	17	T	Histidine kinase	14	A502
6777	ENOG4108RJB	14	14	S	Inherit from COG: Membrane	6	A356
6778	ENOG4108RJG	45	45	Q	Mammalian cell entry related domain protein	11	A457
6779	ENOG4106EYG	4	4	S		12	A356
6780	ENOG4106X0E	3	3	S		2	A360
6781	ENOG4106X0D	5	3	S		10	A519
6782	ENOG41065PP	4	3	S		14	A356
6783	ENOG41065PU	16	16	C	cytochrome C	1	A360
6784	ENOG41080V0	4	4	S	Inherit from COG: domain protein	4	A457
6785	ENOG4105SG0	193	186	S	Membrane	5	A492
6786	ENOG4105SG2	6	6	L	Transposase	14	A500
6787	ENOG41081Z5	2	2	L	Reverse transcriptase (RNA-dependent DNA polymerase)	9	A492
6788	ENOG41081ZC	4	4	S	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit (By similarity)	6	A457
6789	ENOG4105TAB	3	3	S	Purine or other phosphorylase family 1	10	A502
6790	ENOG4107KUK	2	2	S		10	A502
6791	ENOG4108WJZ	126	105	N	chemotaxis, protein	9	A457
6792	ENOG4108WJE	108	92	M	Glycosyl transferase, family 11	15	A519
6793	ENOG4108WJ5	39	36	S	Nucleotidyl transferase of unknown function (DUF1814)	13	A519
6794	ENOG4106JIW	7	7	S		5	A492
6795	ENOG4106JIU	11	11	K	TRANSCRIPTIONal REGULATOR, LysR family	12	A361
6796	ENOG4106JIY	4	4	T	Sigma factor	14	A519
6797	ENOG4108I6E	125	109	S	Sulfatase	15	A502
6798	ENOG4108I6X	2	2	T	Signal transduction histidine kinase, lyts	11	A500
6799	ENOG4108I63	15	14	G	ABC transporter	10	A502
6800	ENOG4108I60	16	15	M	Nucleotidyl transferase	13	A502
6801	ENOG4108I67	214	202	P	Catalyzes the synthesis of activated sulfate (By similarity)	8	A492
6802	ENOG41083YD	5	5	S	hexapeptide transferase family protein	4	A502
6803	ENOG41083YX	4	4	S		11	A500
6804	ENOG41063ZB	34	32	S	Formyl transferase domain protein	11	A457
6805	ENOG41063ZA	5	4	S	Peptidase family M23	11	A457
6806	ENOG41063ZT	24	21	S		10	A492
6807	ENOG41063Z5	4	4	S		9	A492
6808	ENOG41084R0	9	9	L	Integrase core domain	15	A502
6809	ENOG41084R8	36	36	S		13	A519
6810	ENOG41077QD	4	4	S		13	A502
6811	ENOG41077QY	2	2	S		1	A500
6812	ENOG41077QZ	6	6	S		12	A519
6813	ENOG41064GY	8	8	S		8	A457
6814	ENOG41064GT	11	11	S		9	A457
6815	ENOG41064GI	4	4	S		9	A500
6816	ENOG4107M53	65	58	D	biosynthesis protein	12	A502
6817	ENOG4105M62	26	24	S	Toxin-antitoxin system, toxin component, RelE family	14	A519
6818	ENOG4105M6D	9	9	L	Replication initiator protein	14	A500
6819	ENOG4105M6F	780	710	L	mutator MutT protein	15	A361
6820	ENOG4105KBM	49	48	K	acetyltransferase, (GNAT) family	14	A361
6821	ENOG41072FZ	2	2	S		6	A492
6822	ENOG41072FS	4	4	S		4	A519
6823	ENOG41072F3	14	11	S	Putative capsular polysaccharide synthesis protein	9	A492
6824	ENOG4108XCE	9	9	S		9	A360
6825	ENOG4108XCR	31	30	Q	hydratase	2	A492
6826	ENOG4105FQQ	27	25	S	recombinase	9	A492
6827	ENOG4105FQB	45	42	T	fha domain containing protein	14	A492
6828	ENOG41080IW	46	42	K	Transcriptional regulator, ARSR family	4	A519
6829	ENOG41080IX	16	15	T	Histidine kinase	9	A519
6830	ENOG41080IK	21	19	S	methyltransferase	14	A502
6831	ENOG41080I5	8	8	G	phosphotransferase system, phosphocarrier protein hpr	5	A356
6832	ENOG4107SX2	90	69	K	Transcriptional Regulator AraC Family	14	A492
6833	ENOG4107SX6	3	3	S		6	A500
6834	ENOG4107SX5	60	57	Q	Methyltransferase	2	A492
6835	ENOG41067X3	15	15	C	cytochrome C	6	A500
6836	ENOG4108S83	23	19	K	Transcriptional regulator (AraC family)	9	A519
6837	ENOG4106PCQ	2	2	S		3	A492
6838	ENOG4106ETJ	17	17	C	IroN-sulfur binding	5	A519
6839	ENOG4107ABD	5	4	S	Nucleic-acid-binding protein containing Zn-ribbon domain (DUF2082)	13	A356
6840	ENOG4106AU2	5	5	S		2	A492
6841	ENOG4106AU9	11	8	L		13	A492
6842	ENOG4106AUB	19	17	S	Phage head-tail adaptor	7	A502
6843	ENOG4106AUG	115	112	M	peptidase M23	15	A519
6844	ENOG4106G50	13	11	K	Tetr family transcriptional regulator	2	A502
6845	ENOG4106G55	7	7	S		6	A457
6846	ENOG4106G5W	37	18	S	hemagglutinin protein	15	A519
6847	ENOG4106G5U	5	5	S		15	A519
6848	ENOG4106G5T	4	4	S		3	A457
6849	ENOG4107HTV	2	2	S	Pfam:Ribosomal_S23p	3	A360
6850	ENOG4107JIX	3	3	T	response regulator (Receiver	2	A492
6851	ENOG4107JIK	2	2	K	HTH_XRE	10	A502
6852	ENOG4106N0B	7	4	S		8	A519
6853	ENOG4107CBW	2	2	S		5	A356
6854	ENOG41079YZ	3	3	S		13	A500
6855	ENOG4107CB6	2	2	S		10	A519
6856	ENOG4108R73	15	14	S	Bacterial extracellular solute-binding protein	14	A502
6857	ENOG4108R7S	367	354	FG	Histidine triad (Hit) protein	11	A457
6858	ENOG4106VDP	3	3	S	PilZ domain	10	A492
6859	ENOG4105Z1F	34	31	S	(Anaerobic) ribonucleoside-triphosphate reductase	14	A502
6860	ENOG4105Z1B	12	11	S		4	A500
6861	ENOG4108YK5	49	46	S		14	A356
6862	ENOG4108YK0	5	5	S		13	A519
6863	ENOG4108YKM	19	15	S		14	A500
6864	ENOG4108YKN	30	30	K	regulatory protein, asnc	15	A519
6865	ENOG4108YKD	12	9	M	glycosyl transferase family 2	2	A492
6866	ENOG410761Y	2	2	S		13	A492
6867	ENOG4105EQ0	528	354	G	Major Facilitator superfamily	15	A519
6868	ENOG4105EQ3	30	23	O	Heat shock protein	14	A502
6869	ENOG4105EQ4	13	12	S		14	A519
6870	ENOG4105EQB	30	27	K	laci family transcriptional regulator	15	A519
6871	ENOG4106VWC	2	2	S		5	A492
6872	ENOG4108N09	3	3	S		14	A492
6873	ENOG41081M0	4	4	S		9	A457
6874	ENOG41081MF	4	4	H	kinase (EC 2.7.4.16)	3	A457
6875	ENOG41081ME	8	8	L	Replication initiation and membrane attachment	12	A500
6876	ENOG41081MW	14	14	S		13	A502
6877	ENOG41081MV	4	4	S	Nudix Hydrolase	8	A457
6878	ENOG4106XPD	3	3	S		12	A492
6879	ENOG410843X	8	8	G	phosphocarrier protein Hpr	8	A457
6880	ENOG4108WQG	80	45	K	RNA polymerase	15	A519
6881	ENOG4108WQI	131	129	K	RNA Polymerase	3	A492
6882	ENOG4106CCD	5	5	S		13	A457
6883	ENOG4108436	8	8	K	HTH_XRE	12	A492
6884	ENOG4106CCN	6	6	S		9	A519
6885	ENOG4105WK9	57	49	S	prevent-host-death family	5	A500
6886	ENOG4105WKD	4	1	S	Inherit from NOG: domain protein	7	A500
6887	ENOG4105WKZ	142	134	L	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease (By similarity)	14	A457
6888	ENOG4106FMV	4	4	S	Calcineurin-like phosphoesterase	2	A519
6889	ENOG4106FMX	11	9	S	YjcQ protein	11	A361
6890	ENOG4108XXK	105	103	L	NUDIX hydrolase	13	A492
6891	ENOG4108XXJ	33	31	P	Methyl-accepting chemotaxis	9	A457
6892	ENOG4108XXY	62	18	L	Transposase (IS4 family) protein	8	A500
6893	ENOG4105FDR	205	190	S	Membrane	10	A457
6894	ENOG4107SMQ	31	31	E	Aminotransferase	8	A457
6895	ENOG4107SMR	108	92	L	Phage integrase	14	A502
6896	ENOG4107SMN	64	58	C	Cysteine-rich domain protein	9	A519
6897	ENOG41060CD	24	23	K	Transcriptional regulator	11	A361
6898	ENOG41060CY	35	33	S		13	A519
6899	ENOG4107M0N	3	3	S	Protein of unknown function (DUF2807)	12	A519
6900	ENOG4107M0A	3	3	T	RNA polymerase	14	A360
6901	ENOG4107M0W	4	4	S		3	A457
6902	ENOG41076JT	2	2	O	heat shock protein dnaj domain protein	6	A360
6903	ENOG41076JP	3	3	S		14	A500
6904	ENOG4106WB7	3	3	S		6	A502
6905	ENOG4107TKJ	8	8	I	acyl-Coa dehydrogenase	15	A519
6906	ENOG4107TK7	16	15	L	recombinase	14	A502
6907	ENOG410873S	2	2	S	Rho termination factor, N-terminal domain	6	A457
6908	ENOG41081ZS	2	2	S		8	A361
6909	ENOG4106XWD	4	4	S		3	A361
6910	ENOG4105VC2	161	145	S	Glyoxalase Bleomycin resistance protein (Dioxygenase	14	A519
6911	ENOG4105VCB	21	21	S		3	A356
6912	ENOG4108MBS	38	36	S	uba thif-type nad fad binding protein	11	A519
6913	ENOG4108T81	17	17	K	Transcriptional regulator	13	A519
6914	ENOG410883Z	4	4	D	Septum formation initiator	11	A492
6915	ENOG4105F0M	230	181	C	Aldo Keto reductase	15	A519
6916	ENOG4105F0I	449	418	E	Aminotransferase	10	A500
6917	ENOG4107TIQ	42	39	S	conserved repeat domain protein	13	A500
6918	ENOG4107TIV	82	79	M	efflux transporter, rnd family, mfp subunit	15	A519
6919	ENOG4107TIK	14	14	S	na solute symporter	11	A519
6920	ENOG4107TI6	109	109	U	MotA TolQ exbB proton channel	15	A519
6921	ENOG4107TI4	7	7	S	Protein of unknown function (DUF554)	11	A502
6922	ENOG4105YBQ	3	3	S		3	A502
6923	ENOG41078N9	3	2	K		6	A519
6924	ENOG41078N5	4	4	S		12	A519
6925	ENOG41078N2	3	3	S		5	A360
6926	ENOG41078NN	2	2	S		2	A502
6927	ENOG41061CU	6	6	S		10	A492
6928	ENOG41086M7	6	6	L	site-specific recombinase, phage integrase family	15	A519
6929	ENOG41086MI	4	4	S		2	A356
6930	ENOG41071DX	3	3	S		12	A356
6931	ENOG4108SM0	14	12	S		10	A500
6932	ENOG4108SMS	94	37	L	transposase	10	A457
6933	ENOG4106KID	2	2	S		9	A502
6934	ENOG4105D36	63	62	S	Membrane	15	A500
6935	ENOG4105D3P	194	110	G	Mannan endo-1,4-beta-mannosidase	14	A492
6936	ENOG4105D3U	1185	1166	D	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)	15	A360
6937	ENOG4105PTA	12	12	S	Protein of unknown function (DUF1236)	5	A492
6938	ENOG4106BQ6	11	10	S	Inherit from NOG: DNA packaging protein	6	A502
6939	ENOG4106BQ3	8	8	S		4	A492
6940	ENOG4106BQA	3	3	S		5	A361
6941	ENOG4106BQN	5	4	S		5	A519
6942	ENOG410664M	5	5	S		8	A519
6943	ENOG410664Q	23	23	S		14	A519
6944	ENOG41076QC	2	2	S		6	A519
6945	ENOG410709J	4	2	T	signal transduction Histidine kinase	3	A457
6946	ENOG4107092	2	2	S		7	A519
6947	ENOG410693J	7	7	S	DNA-binding helix-turn-helix protein	15	A519
6948	ENOG4107U10	76	76	M	peptidase	15	A519
6949	ENOG4107WIV	32	31	M	Choline kinase	12	A356
6950	ENOG410794K	3	2	L	DNA binding domain protein, excisionase family	13	A500
6951	ENOG41087AA	6	5	S		11	A492
6952	ENOG41087AP	11	8	T	Two component transcriptional regulator, lyttr family	5	A519
6953	ENOG4105VVV	6	6	S	Protein of unknown function (DUF2612)	6	A492
6954	ENOG4105VVZ	80	78	S	metal-binding protein	9	A519
6955	ENOG4105VVF	12	11	S		13	A519
6956	ENOG4105VVJ	59	58	S	Protein of unknown function (DUF3021)	14	A361
6957	ENOG4105VVK	22	22	S	Sulfite exporter TauE/SafE	12	A356
6958	ENOG4105VVI	28	18	M	choline binding protein	15	A361
6959	ENOG4105QCC	6	6	S		11	A519
6960	ENOG4107NXA	15	14	S	Membrane Spanning Protein	1	A492
6961	ENOG4105ZG5	8	7	K	AP2 domain	11	A492
6962	ENOG4105ZGD	12	12	S	gtra family	15	A519
6963	ENOG4105ZGS	5	5	S		11	A502
6964	ENOG410736U	7	7	J	s4 domain protein	10	A519
6965	ENOG4107369	2	2	S	Enterocin A Immunity	3	A360
6966	ENOG4106HIW	6	6	S		14	A492
6967	ENOG4106HIF	4	4	S		5	A519
6968	ENOG4108K23	22	22	S		11	A519
6969	ENOG4108K2K	6	4	S	ABC transporter	10	A519
6970	ENOG4108K2Q	29	28	S		12	A356
6971	ENOG4108K2R	426	335	S	Glutathione-regulated potassium-efflux system ancillary protein	14	A519
6972	ENOG4108K2Z	13	13	S		11	A492
6973	ENOG41078YW	2	2	S		5	A356
6974	ENOG41078YJ	23	18	S		6	A519
6975	ENOG41078YI	3	3	S		9	A519
6976	ENOG41078YC	3	2	S		2	A502
6977	ENOG4107A8M	2	2	S		6	A502
6978	ENOG41061VY	14	14	S	VanZ like family 	5	A502
6979	ENOG41061VV	3	3	S	Pfam:GspK	8	A502
6980	ENOG4106RMR	3	3	L	Inherit from COG: type I restriction-modification system	11	A492
6981	ENOG4106RM2	28	27	S	Divergent AAA domain protein	13	A492
6982	ENOG4108DW9	3	3	I	enoyl-CoA hydratase isomerase	1	A492
6983	ENOG41086VG	38	38	S		14	A519
6984	ENOG4105ZWK	78	76	C	Inherit from COG: Low-potential electron donor to a number of redox enzymes (By similarity)	14	A457
6985	ENOG41071Q6	58	56	S	tail SHEATH protein	14	A502
6986	ENOG4105IFY	19	15	S	domain protein	15	A519
6987	ENOG4105IFI	8	8	K	GntR Family Transcriptional Regulator	8	A492
6988	ENOG4105IFG	11	11	S		13	A492
6989	ENOG4105IF3	6	6	S		5	A500
6990	ENOG4107F6I	6	6	K	MarR family transcriptional	1	A500
6991	ENOG4107F6S	87	86	S		14	A519
6992	ENOG41082I1	8	8	S	Cysteine-rich secretory protein family	5	A500
6993	ENOG41082I9	55	54	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)	13	A500
6994	ENOG41082IK	38	31	K	Transcriptional regulator, arsr family	4	A492
6995	ENOG410758V	3	3	S		2	A519
6996	ENOG4108950	2	2	U	Pfam:GSPII_F	4	A500
6997	ENOG410895V	3	3	G	O-Glycosyl hydrolase family 30	9	A519
6998	ENOG4108NU0	6	6	S	Inherit from COG: Spore maturation protein	11	A492
6999	ENOG4105DF5	170	166	L	DNA topoisomerase IV, subunit A	15	A519
7000	ENOG4105DFE	584	460	L	Dna adenine methylase	15	A492
7001	ENOG4105PCT	19	18	S		7	A502
7002	ENOG4106BF4	10	9	S		14	A519
7003	ENOG4108CBA	3	3	S	PspC domain	4	A519
7004	ENOG4106GMN	3	3	S		6	A356
7005	ENOG4107XDN	12	12	S	Phage NTP-binding protein	7	A360
7006	ENOG4107XDK	8	8	O	Pfam:DUF395	4	A502
7007	ENOG4107XDZ	5	5	D	SpoIID lytB	13	A356
7008	ENOG4108WX0	6	6	O	PPIases accelerate the folding of proteins	11	A519
7009	ENOG4108JDV	6	5	S	Conjugative transposon TraN protein	15	A519
7010	ENOG4108JDZ	9	8	M	Glycosyl transferase (Group 1	15	A502
7011	ENOG4107R5E	135	134	M	outer membrane protein assembly complex, YaeT protein	15	A519
7012	ENOG4107R5S	4	4	L	dna adenine	14	A457
7013	ENOG4106T27	3	3	S		14	A502
7014	ENOG4107R54	141	140	O	Peptidyl-prolyl cis-trans isomerase	15	A519
7015	ENOG4107R52	202	185	C	fad dependent oxidoreductase	12	A502
7016	ENOG41088FU	9	9	G	Glycosyl hydrolase	10	A519
7017	ENOG4107XWU	10	10	M	Glycosyl transferase family 2	14	A519
7018	ENOG4107XWS	55	53	H	modD protein	5	A457
7019	ENOG4108Y3R	65	60	K	GntR family transcriptional regulator	12	A361
7020	ENOG4108Y3K	6	6	Q	Pfam:DUF140	5	A457
7021	ENOG41062BJ	24	22	S		13	A502
7022	ENOG41060JT	4	4	S		9	A457
7023	ENOG4105C16	74	53	P	Sulfatase	12	A502
7024	ENOG4105C1R	82	81	G	hydrolase family 57	15	A519
7025	ENOG4105C1Q	357	336	H	protoporphyrinogen oxidase	10	A457
7026	ENOG4105C1I	2698	1021	K	TRANSCRIPTIONAl REGULATOR GntR family	15	A356
7027	ENOG4105C1B	1461	1181	M	dTDP-glucose 4-6-dehydratase	15	A457
7028	ENOG4105Q4K	112	108	M	Membrane	15	A519
7029	ENOG4105Q4R	29	29	T	positive regulator of sigmaE, RseC MucC	15	A519
7030	ENOG4108PRI	8	7	S		14	A500
7031	ENOG410674K	4	4	S		6	A457
7032	ENOG4107YWZ	10	8	U	Inherit from COG: filamentous hemagglutinin family outer membrane protein	14	A519
7033	ENOG4107YWI	187	186	T	protein tyrosine phosphatase	15	A519
7034	ENOG4107YWD	8	8	E	Extracellular solute-binding protein, family 5	11	A356
7035	ENOG4107YWF	3	3	S	Appr-1-P Processing	13	A361
7036	ENOG4107YWA	55	54	F	deoxycytidylate deaminase	13	A502
7037	ENOG4106J6A	2	2	P	TonB dependent receptor	14	A519
7038	ENOG4106J60	5	5	S		11	A457
7039	ENOG4106HRP	3	3	S		9	A492
7040	ENOG4106HRJ	526	499	M	d-alanyl-d-alanine carboxypeptidase	15	A519
7041	ENOG4108NB4	29	26	S		15	A519
7042	ENOG4105UG4	20	20	S	Inherit from COG: DNA recombination	14	A502
7043	ENOG4107T7F	128	124	U	This protein specifically catalyzes the removal of signal peptides from prolipoproteins (By similarity)	15	A519
7044	ENOG4107T73	31	27	H	Lipoate-protein, ligase	11	A361
7045	ENOG4108NBW	2	2	S		13	A519
7046	ENOG4108B4G	2	2	S	Tautomerase enzyme	6	A360
7047	ENOG4108B4Q	54	51	S		14	A502
7048	ENOG4108B42	3	3	G	Inherit from COG: n-acylglucosamine 2-epimerase	15	A519
7049	ENOG4108B46	4	4	K	Helix-turn-helix domain, rpiR family	7	A492
7050	ENOG4105X3S	6	6	S	Nadph-dependent fmn reductase	8	A492
7051	ENOG41086FC	102	96	J	50S ribosomal protein l32	4	A360
